time(ms),Hips position X(m),Hips position Y(m),Hips position Z(m),Hips quaternion W,Hips quaternion X,Hips quaternion Y,Hips quaternion Z,RightUpperLeg position X(m),RightUpperLeg position Y(m),RightUpperLeg position Z(m),RightUpperLeg quaternion W,RightUpperLeg quaternion X,RightUpperLeg quaternion Y,RightUpperLeg quaternion Z,RightLowerLeg position X(m),RightLowerLeg position Y(m),RightLowerLeg position Z(m),RightLowerLeg quaternion W,RightLowerLeg quaternion X,RightLowerLeg quaternion Y,RightLowerLeg quaternion Z,RightFoot position X(m),RightFoot position Y(m),RightFoot position Z(m),RightFoot quaternion W,RightFoot quaternion X,RightFoot quaternion Y,RightFoot quaternion Z,RightToe position X(m),RightToe position Y(m),RightToe position Z(m),RightToe quaternion W,RightToe quaternion X,RightToe quaternion Y,RightToe quaternion Z,LeftUpperLeg position X(m),LeftUpperLeg position Y(m),LeftUpperLeg position Z(m),LeftUpperLeg quaternion W,LeftUpperLeg quaternion X,LeftUpperLeg quaternion Y,LeftUpperLeg quaternion Z,LeftLowerLeg position X(m),LeftLowerLeg position Y(m),LeftLowerLeg position Z(m),LeftLowerLeg quaternion W,LeftLowerLeg quaternion X,LeftLowerLeg quaternion Y,LeftLowerLeg quaternion Z,LeftFoot position X(m),LeftFoot position Y(m),LeftFoot position Z(m),LeftFoot quaternion W,LeftFoot quaternion X,LeftFoot quaternion Y,LeftFoot quaternion Z,LeftToe position X(m),LeftToe position Y(m),LeftToe position Z(m),LeftToe quaternion W,LeftToe quaternion X,LeftToe quaternion Y,LeftToe quaternion Z,Spine position X(m),Spine position Y(m),Spine position Z(m),Spine quaternion W,Spine quaternion X,Spine quaternion Y,Spine quaternion Z,Spine1 position X(m),Spine1 position Y(m),Spine1 position Z(m),Spine1 quaternion W,Spine1 quaternion X,Spine1 quaternion Y,Spine1 quaternion Z,Spine2 position X(m),Spine2 position Y(m),Spine2 position Z(m),Spine2 quaternion W,Spine2 quaternion X,Spine2 quaternion Y,Spine2 quaternion Z,Spine3 position X(m),Spine3 position Y(m),Spine3 position Z(m),Spine3 quaternion W,Spine3 quaternion X,Spine3 quaternion Y,Spine3 quaternion Z,Neck position X(m),Neck position Y(m),Neck position Z(m),Neck quaternion W,Neck quaternion X,Neck quaternion Y,Neck quaternion Z,Head position X(m),Head position Y(m),Head position Z(m),Head quaternion W,Head quaternion X,Head quaternion Y,Head quaternion Z,RightShoulder position X(m),RightShoulder position Y(m),RightShoulder position Z(m),RightShoulder quaternion W,RightShoulder quaternion X,RightShoulder quaternion Y,RightShoulder quaternion Z,RightUpperArm position X(m),RightUpperArm position Y(m),RightUpperArm position Z(m),RightUpperArm quaternion W,RightUpperArm quaternion X,RightUpperArm quaternion Y,RightUpperArm quaternion Z,RightLowerArm position X(m),RightLowerArm position Y(m),RightLowerArm position Z(m),RightLowerArm quaternion W,RightLowerArm quaternion X,RightLowerArm quaternion Y,RightLowerArm quaternion Z,RightHand position X(m),RightHand position Y(m),RightHand position Z(m),RightHand quaternion W,RightHand quaternion X,RightHand quaternion Y,RightHand quaternion Z,LeftShoulder position X(m),LeftShoulder position Y(m),LeftShoulder position Z(m),LeftShoulder quaternion W,LeftShoulder quaternion X,LeftShoulder quaternion Y,LeftShoulder quaternion Z,LeftUpperArm position X(m),LeftUpperArm position Y(m),LeftUpperArm position Z(m),LeftUpperArm quaternion W,LeftUpperArm quaternion X,LeftUpperArm quaternion Y,LeftUpperArm quaternion Z,LeftLowerArm position X(m),LeftLowerArm position Y(m),LeftLowerArm position Z(m),LeftLowerArm quaternion W,LeftLowerArm quaternion X,LeftLowerArm quaternion Y,LeftLowerArm quaternion Z,LeftHand position X(m),LeftHand position Y(m),LeftHand position Z(m),LeftHand quaternion W,LeftHand quaternion X,LeftHand quaternion Y,LeftHand quaternion Z,
2938872,1.580490,-0.097150,1.023060,0.858900,0.033200,-0.008100,-0.510900,1.616799,-0.161159,1.001628,0.823100,-0.009800,-0.003200,-0.567700,1.622574,-0.190736,0.593140,0.845000,-0.074700,0.030500,-0.528500,1.562747,-0.242331,0.117681,0.870500,-0.017500,0.009900,-0.491700,1.700315,-0.171081,0.005380,0.870500,-0.017500,0.009900,-0.491700,1.546095,-0.031191,1.004590,0.837700,0.007400,-0.019500,-0.545600,1.554388,-0.013388,0.595472,0.858700,-0.038800,0.001000,-0.510900,1.530228,-0.039346,0.114779,0.866900,-0.007700,0.004700,-0.498300,1.659996,0.047869,0.004963,0.866900,-0.007700,0.004700,-0.498300,1.604602,-0.086378,1.125969,0.868800,0.025100,-0.008800,-0.494300,1.597094,-0.092202,1.248620,0.879600,0.015800,-0.009700,-0.475300,1.579999,-0.103119,1.363942,0.889400,0.006900,-0.010500,-0.456800,1.526806,-0.139532,1.475534,0.899200,-0.002200,-0.011300,-0.437300,1.525445,-0.138508,1.549509,0.895700,-0.061600,-0.024500,-0.439500,1.552100,-0.101578,1.678476,0.880500,-0.171100,-0.048700,-0.439300,1.559465,-0.202687,1.528019,0.891700,-0.028700,-0.014400,-0.451200,1.622827,-0.288698,1.533538,0.625500,0.198800,0.721400,-0.220400,1.589239,-0.285999,1.292943,0.700200,0.164700,0.687700,-0.097700,1.598356,-0.262585,1.033187,0.827300,0.065900,0.041000,-0.556300,1.471822,-0.091019,1.524860,0.898100,0.006100,-0.004100,-0.439500,1.406184,-0.006545,1.524646,0.590500,-0.371500,-0.600900,-0.389800,1.412580,-0.003171,1.281820,0.591400,-0.391600,-0.552800,-0.437200,1.410917,0.018797,1.021794,0.590200,-0.108800,-0.426100,0.676800,
2938882,1.580619,-0.097399,1.023000,0.858910,0.033153,-0.008350,-0.510984,1.616925,-0.161418,1.001604,0.823149,-0.009752,-0.003051,-0.567734,1.622623,-0.190893,0.593108,0.845042,-0.074655,0.030651,-0.528575,1.562695,-0.242371,0.117623,0.870525,-0.017500,0.009900,-0.491714,1.700263,-0.171121,0.005323,0.870525,-0.017500,0.009900,-0.491714,1.546242,-0.031443,1.004496,0.837763,0.007450,-0.019352,-0.545641,1.554455,-0.013539,0.595383,0.858765,-0.038903,0.001100,-0.510890,1.530165,-0.039531,0.114719,0.866988,-0.007503,0.004651,-0.498251,1.659935,0.047729,0.004976,0.866988,-0.007503,0.004651,-0.498251,1.604694,-0.086596,1.125911,0.868842,0.025001,-0.009099,-0.494373,1.597133,-0.092362,1.248568,0.879577,0.015801,-0.009899,-0.475391,1.579998,-0.103253,1.363871,0.889462,0.007000,-0.010650,-0.456832,1.526766,-0.139671,1.475444,0.899233,-0.002100,-0.011449,-0.437316,1.525378,-0.138651,1.549418,0.895777,-0.061505,-0.024651,-0.439538,1.551986,-0.101726,1.678396,0.880562,-0.171161,-0.048902,-0.439231,1.559406,-0.202829,1.527938,0.891819,-0.028802,-0.014699,-0.451235,1.622777,-0.288843,1.533523,0.625557,0.199167,0.721466,-0.220222,1.589244,-0.285961,1.292910,0.700419,0.164567,0.687817,-0.096119,1.598465,-0.262022,1.033226,0.827985,0.066802,0.041403,-0.555216,1.471763,-0.091161,1.524753,0.898229,0.006249,-0.003902,-0.439465,1.406101,-0.006687,1.524591,0.590564,-0.371589,-0.601014,-0.389793,1.412493,-0.003350,1.281750,0.590800,-0.391978,-0.553686,-0.436738,1.411089,0.018044,1.021673,0.589748,-0.109803,-0.425684,0.677447,
2938892,1.580712,-0.097584,1.022948,0.858876,0.033038,-0.008530,-0.511045,1.617010,-0.161614,1.001583,0.823099,-0.009636,-0.003000,-0.567809,1.622723,-0.190988,0.593095,0.844972,-0.074603,0.030766,-0.528688,1.562719,-0.242358,0.117602,0.870525,-0.017501,0.009835,-0.491714,1.700299,-0.171116,0.005312,0.870525,-0.017501,0.009835,-0.491714,1.546350,-0.031632,1.004412,0.837764,0.007565,-0.019237,-0.545642,1.554534,-0.013598,0.595306,0.858833,-0.038903,0.001165,-0.510776,1.530194,-0.039562,0.114646,0.867006,-0.007336,0.004535,-0.498224,1.660012,0.047736,0.004954,0.867006,-0.007336,0.004535,-0.498224,1.604767,-0.086746,1.125855,0.868803,0.025002,-0.009266,-0.494439,1.597171,-0.092491,1.248503,0.879554,0.015801,-0.010065,-0.475429,1.580000,-0.103363,1.363809,0.889460,0.007000,-0.010830,-0.456831,1.526732,-0.139763,1.475371,0.899232,-0.002035,-0.011565,-0.437315,1.525325,-0.138743,1.549345,0.895773,-0.061505,-0.024832,-0.439536,1.551891,-0.101797,1.678327,0.880544,-0.171209,-0.049132,-0.439222,1.559359,-0.202921,1.527872,0.891851,-0.028866,-0.014930,-0.451161,1.622745,-0.288926,1.533508,0.625558,0.199348,0.721466,-0.220055,1.589247,-0.285930,1.292892,0.700532,0.164516,0.687866,-0.095026,1.598543,-0.261611,1.033244,0.828424,0.067494,0.041698,-0.554454,1.471716,-0.091253,1.524666,0.898275,0.006301,-0.003735,-0.439372,1.406043,-0.006802,1.524541,0.590546,-0.371629,-0.601047,-0.389730,1.412431,-0.003503,1.281685,0.590280,-0.392256,-0.554361,-0.436335,1.411233,0.017430,1.021564,0.589413,-0.110497,-0.425336,0.677843,
2938903,1.580770,-0.097743,1.022906,0.858849,0.033002,-0.008721,-0.511090,1.617070,-0.161787,1.001567,0.823044,-0.009540,-0.002940,-0.567890,1.622781,-0.191071,0.593052,0.844903,-0.074545,0.030863,-0.528800,1.562724,-0.242334,0.117586,0.870512,-0.017441,0.009801,-0.491741,1.700307,-0.171100,0.005329,0.870512,-0.017441,0.009801,-0.491741,1.546419,-0.031788,1.004342,0.837765,0.007661,-0.019141,-0.545642,1.554581,-0.013645,0.595242,0.858884,-0.038904,0.001261,-0.510689,1.530163,-0.039564,0.114601,0.867042,-0.007180,0.004440,-0.498164,1.660005,0.047770,0.004966,0.867042,-0.007180,0.004440,-0.498164,1.604799,-0.086881,1.125824,0.868769,0.024942,-0.009422,-0.494500,1.597176,-0.092593,1.248471,0.879554,0.015801,-0.010161,-0.475429,1.579986,-0.103455,1.363776,0.889434,0.007061,-0.010900,-0.456878,1.526690,-0.139856,1.475333,0.899231,-0.002000,-0.011661,-0.437315,1.525268,-0.138835,1.549307,0.895770,-0.061505,-0.024962,-0.439534,1.551803,-0.101874,1.678291,0.880538,-0.171207,-0.049263,-0.439219,1.559307,-0.203013,1.527842,0.891864,-0.028842,-0.015061,-0.451132,1.622696,-0.289011,1.533501,0.625490,0.199477,0.721519,-0.219957,1.589181,-0.285927,1.292883,0.700570,0.164516,0.687929,-0.094286,1.598504,-0.261335,1.033263,0.828681,0.067947,0.041924,-0.553998,1.471665,-0.091345,1.524616,0.898301,0.006300,-0.003700,-0.439320,1.405976,-0.006895,1.524497,0.590560,-0.371638,-0.601061,-0.389679,1.412353,-0.003614,1.281653,0.589920,-0.392462,-0.554860,-0.436004,1.411293,0.016973,1.021522,0.589169,-0.111072,-0.425055,0.678139,
2938913,1.580813,-0.097889,1.022862,0.858792,0.032945,-0.008914,-0.511186,1.617103,-0.161948,1.001551,0.822981,-0.009444,-0.002900,-0.567983,1.622827,-0.191152,0.593025,0.844849,-0.074504,0.030958,-0.528887,1.562705,-0.242328,0.117540,0.870503,-0.017402,0.009801,-0.491758,1.700285,-0.171097,0.005302,0.870503,-0.017402,0.009801,-0.491758,1.546482,-0.031932,1.004270,0.837766,0.007757,-0.019045,-0.545643,1.554621,-0.013680,0.595174,0.858916,-0.038903,0.001357,-0.510635,1.530124,-0.039554,0.114508,0.867060,-0.007044,0.004344,-0.498135,1.659987,0.047801,0.004929,0.867060,-0.007044,0.004344,-0.498135,1.604816,-0.087003,1.125783,0.868727,0.024901,-0.009557,-0.494572,1.597169,-0.092691,1.248442,0.879516,0.015801,-0.010314,-0.475496,1.579946,-0.103532,1.363739,0.889418,0.007100,-0.010957,-0.456909,1.526631,-0.139933,1.475292,0.899230,-0.001943,-0.011700,-0.437315,1.525200,-0.138917,1.549266,0.895772,-0.061448,-0.025002,-0.439535,1.551719,-0.101964,1.678255,0.880534,-0.171207,-0.049359,-0.439217,1.559241,-0.203094,1.527801,0.891863,-0.028802,-0.015158,-0.451132,1.622630,-0.289091,1.533474,0.625457,0.199518,0.721565,-0.219863,1.589103,-0.285957,1.292863,0.700606,0.164568,0.687949,-0.093780,1.598463,-0.261159,1.033249,0.828825,0.068276,0.042060,-0.553732,1.471599,-0.091426,1.524572,0.898331,0.006357,-0.003643,-0.439258,1.405898,-0.006983,1.524469,0.590550,-0.371688,-0.601107,-0.389576,1.412263,-0.003756,1.281615,0.589484,-0.392771,-0.555403,-0.435623,1.411344,0.016412,1.021456,0.588887,-0.111707,-0.424714,0.678492,
2938924,1.580840,-0.098021,1.022820,0.858740,0.032902,-0.009051,-0.511274,1.617121,-0.162094,1.001529,0.822908,-0.009350,-0.002850,-0.568091,1.622848,-0.191211,0.593017,0.844791,-0.074504,0.031002,-0.528977,1.562684,-0.242360,0.117527,0.870503,-0.017402,0.009801,-0.491758,1.700264,-0.171128,0.005288,0.870503,-0.017402,0.009801,-0.491758,1.546527,-0.032058,1.004207,0.837766,0.007851,-0.019001,-0.545643,1.554677,-0.013723,0.595116,0.858948,-0.038953,0.001451,-0.510578,1.530079,-0.039595,0.114441,0.867083,-0.006899,0.004250,-0.498097,1.659961,0.047785,0.004922,0.867083,-0.006899,0.004250,-0.498097,1.604828,-0.087118,1.125745,0.868695,0.024901,-0.009702,-0.494626,1.597149,-0.092787,1.248398,0.879486,0.015802,-0.010452,-0.475547,1.579898,-0.103611,1.363688,0.889406,0.007100,-0.011102,-0.456929,1.526556,-0.139992,1.475223,0.899230,-0.001900,-0.011751,-0.437315,1.525116,-0.138979,1.549197,0.895773,-0.061405,-0.025053,-0.439536,1.551618,-0.102030,1.678190,0.880536,-0.171156,-0.049503,-0.439218,1.559160,-0.203155,1.527734,0.891883,-0.028803,-0.015201,-0.451091,1.622553,-0.289142,1.533415,0.625416,0.199521,0.721627,-0.219773,1.589004,-0.285968,1.292815,0.700648,0.164611,0.687947,-0.093404,1.598401,-0.261020,1.033216,0.828944,0.068560,0.042155,-0.553510,1.471518,-0.091487,1.524497,0.898368,0.006400,-0.003600,-0.439182,1.405808,-0.007061,1.524407,0.590502,-0.371784,-0.601154,-0.389484,1.412165,-0.003907,1.281554,0.589063,-0.393096,-0.555915,-0.435246,1.411372,0.015851,1.021362,0.588660,-0.112316,-0.424341,0.678822,
2938934,1.580860,-0.098160,1.022780,0.858683,0.032851,-0.009200,-0.511370,1.617131,-0.162247,1.001511,0.822870,-0.009251,-0.002800,-0.568148,1.622867,-0.191275,0.593004,0.844731,-0.074503,0.031051,-0.529069,1.562655,-0.242393,0.117504,0.870504,-0.017352,0.009801,-0.491758,1.700241,-0.171151,0.005279,0.870504,-0.017352,0.009801,-0.491758,1.546565,-0.032193,1.004145,0.837766,0.007951,-0.018951,-0.545643,1.554726,-0.013767,0.595058,0.858968,-0.039003,0.001500,-0.510540,1.530064,-0.039656,0.114410,0.867118,-0.006751,0.004200,-0.498039,1.659964,0.047767,0.004936,0.867118,-0.006751,0.004200,-0.498039,1.604830,-0.087239,1.125709,0.868661,0.024852,-0.009851,-0.494685,1.597125,-0.092878,1.248357,0.879465,0.015801,-0.010551,-0.475585,1.579852,-0.103690,1.363651,0.889394,0.007101,-0.011201,-0.456948,1.526494,-0.140056,1.475170,0.899229,-0.001850,-0.011850,-0.437314,1.525037,-0.139042,1.549144,0.895774,-0.061355,-0.025152,-0.439536,1.551510,-0.102094,1.678143,0.880536,-0.171107,-0.049652,-0.439218,1.559086,-0.203218,1.527689,0.891913,-0.028802,-0.015251,-0.451032,1.622494,-0.289201,1.533379,0.625362,0.199520,0.721721,-0.219622,1.588910,-0.285967,1.292781,0.700674,0.164617,0.687973,-0.093010,1.598327,-0.260873,1.033216,0.829083,0.068857,0.042304,-0.553255,1.471445,-0.091550,1.524433,0.898387,0.006451,-0.003600,-0.439143,1.405729,-0.007134,1.524347,0.590465,-0.371891,-0.601216,-0.389343,1.412070,-0.004070,1.281502,0.588661,-0.393391,-0.556407,-0.434895,1.411403,0.015303,1.021277,0.588458,-0.112911,-0.423992,0.679117,
2938944,1.580890,-0.098322,1.022734,0.858648,0.032802,-0.009366,-0.511429,1.617155,-0.162418,1.001490,0.822840,-0.009135,-0.002800,-0.568193,1.622942,-0.191370,0.592949,0.844693,-0.074439,0.031102,-0.529137,1.562720,-0.242403,0.117473,0.870505,-0.017302,0.009735,-0.491759,1.700324,-0.171159,0.005272,0.870505,-0.017302,0.009735,-0.491759,1.546610,-0.032357,1.004075,0.837766,0.008066,-0.018901,-0.545643,1.554788,-0.013829,0.594993,0.858967,-0.039003,0.001566,-0.510540,1.530072,-0.039686,0.114346,0.867160,-0.006635,0.004135,-0.497969,1.659985,0.047775,0.004911,0.867160,-0.006635,0.004135,-0.497969,1.604837,-0.087379,1.125662,0.868624,0.024803,-0.009967,-0.494751,1.597113,-0.092992,1.248302,0.879443,0.015801,-0.010666,-0.475623,1.579815,-0.103791,1.363600,0.889393,0.007166,-0.011333,-0.456948,1.526424,-0.140156,1.475103,0.899228,-0.001734,-0.011966,-0.437314,1.524944,-0.139151,1.549077,0.895773,-0.061305,-0.025334,-0.439536,1.551368,-0.102192,1.678084,0.880554,-0.171110,-0.049835,-0.439161,1.559000,-0.203325,1.527625,0.891948,-0.028802,-0.015367,-0.450958,1.622423,-0.289298,1.533337,0.625349,0.199450,0.721823,-0.219386,1.588817,-0.286006,1.292734,0.700668,0.164616,0.688033,-0.092612,1.598229,-0.260761,1.033179,0.829225,0.069071,0.042403,-0.553008,1.471359,-0.091656,1.524354,0.898386,0.006566,-0.003600,-0.439142,1.405643,-0.007240,1.524279,0.590394,-0.372003,-0.601326,-0.389173,1.411984,-0.004291,1.281429,0.588198,-0.393738,-0.556921,-0.434548,1.411458,0.014664,1.021173,0.588212,-0.113537,-0.423634,0.679448,
2938955,1.580927,-0.098477,1.022693,0.858603,0.032736,-0.009467,-0.511508,1.617180,-0.162581,1.001468,0.822803,-0.009034,-0.002734,-0.568248,1.622965,-0.191433,0.592950,0.844654,-0.074405,0.031169,-0.529200,1.562702,-0.242400,0.117466,0.870478,-0.017235,0.009701,-0.491811,1.700337,-0.171159,0.005282,0.870478,-0.017235,0.009701,-0.491811,1.546663,-0.032512,1.004018,0.837736,0.008167,-0.018834,-0.545690,1.554843,-0.013884,0.594911,0.858967,-0.039003,0.001667,-0.510540,1.530043,-0.039691,0.114265,0.867176,-0.006534,0.004034,-0.497943,1.659976,0.047783,0.004877,0.867176,-0.006534,0.004034,-0.497943,1.604864,-0.087517,1.125617,0.868586,0.024802,-0.010068,-0.494815,1.597118,-0.093117,1.248257,0.879442,0.015801,-0.010767,-0.475623,1.579800,-0.103905,1.363553,0.889365,0.007201,-0.011401,-0.457000,1.526384,-0.140266,1.475056,0.899227,-0.001700,-0.012067,-0.437313,1.524888,-0.139259,1.549029,0.895773,-0.061238,-0.025469,-0.439536,1.551273,-0.102300,1.678044,0.880561,-0.171112,-0.049970,-0.439131,1.558949,-0.203433,1.527586,0.891958,-0.028869,-0.015534,-0.450929,1.622375,-0.289399,1.533336,0.625286,0.199417,0.721927,-0.219252,1.588725,-0.286061,1.292742,0.700713,0.164544,0.688045,-0.092306,1.598158,-0.260730,1.033180,0.829388,0.069238,0.042469,-0.552737,1.471308,-0.091764,1.524294,0.898385,0.006801,-0.003667,-0.439141,1.405593,-0.007348,1.524228,0.590366,-0.372042,-0.601434,-0.389010,1.411935,-0.004481,1.281382,0.587858,-0.394039,-0.557255,-0.434309,1.411495,0.014167,1.021101,0.588076,-0.113975,-0.423330,0.679682,
2938965,1.580971,-0.098616,1.022662,0.858554,0.032641,-0.009562,-0.511594,1.617213,-0.162735,1.001454,0.822765,-0.008939,-0.002639,-0.568306,1.622976,-0.191481,0.592923,0.844591,-0.074405,0.031263,-0.529294,1.562629,-0.242393,0.117443,0.870464,-0.017201,0.009701,-0.491836,1.700276,-0.171152,0.005263,0.870464,-0.017201,0.009701,-0.491836,1.546721,-0.032647,1.003967,0.837674,0.008262,-0.018801,-0.545784,1.554924,-0.013939,0.594863,0.858965,-0.039064,0.001761,-0.510539,1.530015,-0.039750,0.114221,0.867176,-0.006439,0.004000,-0.497944,1.659965,0.047738,0.004864,0.867176,-0.006439,0.004000,-0.497944,1.604905,-0.087634,1.125587,0.868544,0.024801,-0.010162,-0.494887,1.597138,-0.093223,1.248239,0.879401,0.015801,-0.010862,-0.475695,1.579799,-0.103997,1.363527,0.889350,0.007200,-0.011462,-0.457026,1.526367,-0.140349,1.475029,0.899226,-0.001639,-0.012162,-0.437313,1.524855,-0.139344,1.549003,0.895797,-0.061207,-0.025564,-0.439486,1.551209,-0.102381,1.678015,0.880564,-0.171051,-0.050126,-0.439132,1.558921,-0.203518,1.527566,0.891955,-0.028902,-0.015662,-0.450928,1.622347,-0.289483,1.533344,0.625317,0.199356,0.721964,-0.219097,1.588704,-0.286119,1.292751,0.700801,0.164387,0.688039,-0.091960,1.598175,-0.260722,1.033192,0.829569,0.069365,0.042502,-0.552447,1.471281,-0.091849,1.524257,0.898383,0.007023,-0.003762,-0.439141,1.405565,-0.007433,1.524193,0.590349,-0.372092,-0.601511,-0.388871,1.411899,-0.004638,1.281332,0.587521,-0.394329,-0.557547,-0.434126,1.411546,0.013733,1.021039,0.587975,-0.114475,-0.423042,0.679865,
